Run	Experiment	FileName	SampleName
SRR8949478	SRX5729456	GSM3732360	barnyard_mrna
SRR8949479	SRX5729457	GSM3732361	barnyard_repair
SRR8949480	SRX5729458	GSM3732362	pbmc1_mrna
SRR8949481	SRX5729459	GSM3732363	pbmc1_repair
SRR8949482	SRX5729460	GSM3732364	pbmc2_mrna
SRR8949483	SRX5729461	GSM3732365	pbmc2_repair
SRR8949484	SRX5729462	GSM3732366	pbmc3_mrna
SRR8949485	SRX5729463	GSM3732367	pbmc3_repair
SRR8949486	SRX5729464	GSM3732368	pbmc2_repair_pst1
SRR8949487	SRX5729465	GSM3732369	pbcm3_repair_pst1
SRR11549016	SRX8119041	GSM4477417	pbmc15_mrna
SRR11549017	SRX8119042	GSM4477418	pbmc15_repair
SRR11549018	SRX8119043	GSM4477419	pbmc30_mrna
SRR11549019	SRX8119044	GSM4477420	pbmc30_repair
SRR11549020	SRX8119045	GSM4477421	pbmc60_mrna
SRR11549021	SRX8119046	GSM4477422	pbmc60_repair
SRR11549022	SRX8119047	GSM4477423	mix15_mrna
SRR11549023	SRX8119048	GSM4477424	mix15_repair
SRR11549024	SRX8119049	GSM4477425	mix30_mrna
SRR11549025	SRX8119050	GSM4477426	mix30_repair
SRR11549026	SRX8119051	GSM4477427	mix60_mrna
SRR11549027	SRX8119052	GSM4477428	mix60_repair
