"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX8119052","GSM4477428: mix60_repair; synthetic construct; OTHER","synthetic construct","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS6483726","","2319.77","1","19820160","5985688320","","OTHER","TRANSCRIPTOMIC","other"
"SRX8119051","GSM4477427: mix60_mrna; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS6483725","","6171.16","1","53236367","16077382834","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX8119050","GSM4477426: mix30_repair; synthetic construct; OTHER","synthetic construct","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS6483724","","2375.14","1","20034174","6050320548","","OTHER","TRANSCRIPTOMIC","other"
"SRX8119049","GSM4477425: mix30_mrna; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS6483723","","804.65","1","6798725","2053214950","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX8119048","GSM4477424: mix15_repair; synthetic construct; OTHER","synthetic construct","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS6483722","","1771.02","1","14473473","4370988846","","OTHER","TRANSCRIPTOMIC","other"
"SRX8119047","GSM4477423: mix15_mrna; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS6483721","","701.18","1","5918931","1787517162","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX8119046","GSM4477422: pbmc60_repair; synthetic construct; OTHER","synthetic construct","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS6483719","","1618.45","1","13289873","4013541646","","OTHER","TRANSCRIPTOMIC","other"
"SRX8119045","GSM4477421: pbmc60_mrna; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS6483720","","4699.28","1","40008561","12082585422","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX8119044","GSM4477420: pbmc30_repair; synthetic construct; OTHER","synthetic construct","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS6483717","","1624.98","1","13334806","4027111412","","OTHER","TRANSCRIPTOMIC","other"
"SRX8119043","GSM4477419: pbmc30_mrna; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS6483718","","875.15","1","7388681","2231381662","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX8119042","GSM4477418: pbmc15_repair; synthetic construct; OTHER","synthetic construct","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS6483715","","1655.98","1","13568589","4097713878","","OTHER","TRANSCRIPTOMIC","other"
"SRX8119041","GSM4477417: pbmc15_mrna; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS6483716","","1129.25","1","9507082","2871138764","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX5729465","GSM3732369: pbcm3_repair_pst1; synthetic construct; OTHER","synthetic construct","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS4667091","","3368.4","1","27755662","8382209924","","OTHER","GENOMIC","other"
"SRX5729464","GSM3732368: pbmc2_repair_pst1; synthetic construct; OTHER","synthetic construct","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS4667090","","5093.87","1","42871298","12947131996","","OTHER","GENOMIC","other"
"SRX5729463","GSM3732367: pbmc3_repair; synthetic construct; OTHER","synthetic construct","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS4667089","","4701.17","1","37940413","11458004726","","OTHER","GENOMIC","other"
"SRX5729462","GSM3732366: pbmc3_mrna; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS4667087","","21089","1","183591956","55444770712","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX5729461","GSM3732365: pbmc2_repair; synthetic construct; OTHER","synthetic construct","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS4667086","","4812.36","1","39279862","11862518324","","OTHER","GENOMIC","other"
"SRX5729460","GSM3732364: pbmc2_mrna; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS4667085","","16781.88","1","146307283","44184799466","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX5729459","GSM3732363: pbmc1_repair; synthetic construct; OTHER","synthetic construct","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS4667084","","7140.2","1","60386646","18236767092","","OTHER","GENOMIC","other"
"SRX5729458","GSM3732362: pbmc1_mrna; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP193719","Simultaneous measurement of DNA repair activities and mRNA abundance in single cells","SRS4667088","","3579.44","1","32645202","9858851004","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
