	log2FoldChange	baseMean	lfcSE	stat	pvalue	padj
ISG15	-0.31692353713446575	0.8069611707602622	0.19539980485599034	53.666015627116394	1.322026352139802e-11	6.284773250359308e-11
AURKAIP1	-0.0804931088741832	5.024940024720497	0.07387406365505188	516.0299499716948	1.6019051782558095e-111	1.3580596122324252e-109
MRPL20	0.1893929763518786	4.306866711565512	0.08041102649532789	19.314849742404476	0.00023532735506871214	0.0004500119596928004
SSU72	0.16098507443513657	1.9020406501401577	0.1248604816573968	37.382329193405894	3.8193312549834335e-08	1.2427077814722216e-07
GNB1	0.33031884852636517	0.9761256123042164	0.16168370368305274	42.06485615685415	3.8869723395556294e-09	1.4396892694567695e-08
FAAP20	0.31482959032352337	1.7623953592492534	0.11673749036643963	32.49507020551664	4.115573311737047e-07	1.1523605272863732e-06
RER1	0.2833598462315845	0.5076351125571329	0.17622439133146187	7.712374390988771	0.052345544682784885	0.0653676769115628
RPL22	-0.01861917107938909	8.39930032005122	0.06571644364415921	5.109852563593449	0.163927678809771	0.18502488007670898
CAMTA1	0.30037157660826636	1.0724859821233825	0.15519276328021878	44.816661202371506	1.0121168502118307e-09	3.95010310338428e-09
PARK7	-0.13668373228600958	3.737693018497315	0.09326514751401273	18.22082565853998	0.00039604773290310015	0.00073079666313196
ENO1	-0.43832254407578386	3.994713197414922	0.10009761429589296	34.94962385582039	1.2484728377394253e-07	3.721034278106178e-07
TARDBP	0.3270753003237185	0.6713086643889711	0.17151373406981058	28.138322342788342	3.3971509063141063e-06	8.668983750895194e-06
SRM	0.027053299793713927	3.6776823248712724	0.08716538893145497	31.836284870318195	5.666174174294105e-07	1.569252593461489e-06
MAD2L2	-0.28436523537237346	0.529328019073176	0.17684494053817618	1.5619115943736688	0.6680566076059479	0.6791834664934554
SZRD1	0.4539326976214472	0.6281347822352115	0.17102009284757272	14.509120461701059	0.0022880309359333217	0.0037271445864458766
SDHB	-0.5038932828808781	0.40757389652697984	0.17843734867652497	4.9258909808568205	0.17730490150840114	0.19850864248115932
CAPZB	0.2565036985643771	0.5652257129425454	0.1732733416595191	9.580748534231134	0.02248766740503481	0.030049194798671734
MICOS10	0.28898796179510466	3.4041630916778565	0.08832757653853007	20.295141999742555	0.00014743668215488778	0.00029030758318497905
HP1BP3	0.1634186318428142	0.7640695232374303	0.171845447856832	12.79190161452243	0.005108939924540164	0.007827552534988243
CDC42	0.0664342430619232	0.9162614593125394	0.16883713368132008	5.93011708265567	0.11506012510408717	0.13362385913914537
HNRNPR	-0.17002307873549471	1.071786804230072	0.165608122517032	7.473676554868689	0.05823868542481951	0.07213655353756053
ID3	-0.47158811704033654	1.3277054213174049	0.16286693383563197	134.19044272135307	6.759544568743614e-29	9.640247674675472e-28
RPL11	0.09322556662611987	37.93487130377802	0.045250280880372674	10.610948028810526	0.014026854818574117	0.019583696663443825
SRSF10	-0.03232004832314879	0.7744557292747427	0.17264820488889873	7.240601398291801	0.06461181116179145	0.07906786193495889
SRRM1	-0.05447480580640105	3.2935077878990504	0.09816876130047285	18.944514091186647	0.0002807168708616774	0.0005313243065158131
STMN1	-0.22052592297513562	0.8769821946820962	0.171231624162041	25.379122806475607	1.2863857144389845e-05	3.0061632469125425e-05
ZNF593	0.2133380488045217	0.7359184318667095	0.1711773036788414	19.41426205953121	0.000224439705899301	0.0004308113096884696
SH3BGRL3	0.19419812154583924	0.7530010399052608	0.1693860490079367	7.38919766420986	0.06047483895740171	0.07454329907027062
HMGN2	0.18040898397540633	6.437427386858556	0.07346125191226578	70.83897270632406	2.822244311577368e-15	1.8889231664329226e-14
NUDC	-0.10595931941186373	1.3384975036837117	0.14713861932611386	3.8017735761832228	0.28367990148837363	0.30528598707423005
WASF2	0.07349360700264133	1.0505395146035996	0.1609158415850711	17.78504851954949	0.00048710587790769185	0.0008912752634138342
DNAJC8	0.007212132141333185	0.9436330580082171	0.16608070954973153	6.62487623403922	0.08486567159011782	0.100939216560031
ATP5IF1	-0.11700424946925243	2.88186063150296	0.10753360144928698	45.29197729333828	8.020703596298929e-10	3.1383573558851703e-09
SNHG3	0.17660981054145294	1.6430730455449618	0.14142464449055617	66.39287213213811	2.5256392067505558e-14	1.560374667814311e-13
YTHDF2	0.28259672061618796	0.7116515846916861	0.1709507454969868	7.785415767918494	0.050661067143361424	0.06357630629997495
ZCCHC17	0.08150804587968857	1.1057978427197783	0.15274034133743172	3.3815763002539825	0.33644916818607684	0.3582843200641683
PTP4A2	0.2928448917932385	0.9511192215667039	0.16243394996650273	29.699085358601224	1.59655710691487e-06	4.2059669139885965e-06
KHDRBS1	0.15808764395130315	1.1354168671542986	0.1556442408180797	29.463657148502534	1.7893087306303434e-06	4.68350792957445e-06
KPNA6	0.3484791059493081	0.9094227783324226	0.16498274970791127	57.37929519411591	2.1327612854020315e-12	1.0958228018597644e-11
TXLNA	0.0780201690940274	0.6726067682843557	0.17589973171838913	23.276702995010965	3.535986282897357e-05	7.790358593197272e-05
EIF3I	-0.5107085573270483	0.5071886322657484	0.17585229112690703	4.825519218022237	0.18502849459648943	0.2066465903388961
MARCKSL1	0.05156926421082381	1.566464996638707	0.13385093555786862	37.56086208072702	3.501085830420406e-08	1.151434693366711e-07
ZBTB8OS	0.09231266168032744	0.6865379752229276	0.17064506970168442	4.071228284847166	0.25387477156910493	0.2757387198679389
YARS1	0.03612553382940955	0.6781094402990888	0.17731735182846076	7.299164771926371	0.06294963991444337	0.0772816979158814
TMEM54	0.21493676513574939	0.5130691014542069	0.17738953801043925	1.8111417010441073	0.612513383371484	0.6264714631534078
AK2	-0.3456611777873634	0.7656843195047627	0.17294994571220063	7.617699448077474	0.05461013633760947	0.06797313870407182
SMIM12	0.05207840801292817	0.6958628054610212	0.17375594230253794	10.455948905078913	0.015062717982197325	0.020858173902752377
SFPQ	-0.08966809148348742	1.2037721895456728	0.15868698121121802	14.46845241142546	0.002332135733921871	0.0037859990744306122
PSMB2	-0.4693036134847842	0.8712070223177755	0.17515158906330033	72.30535163154309	1.3693174723746106e-15	9.412515598394846e-15
CLSPN	0.32708807503153364	2.141293852058047	0.11355020253673462	20.415516692228266	0.000139200239706717	0.000275154877969495
TRAPPC3	0.25942990719263215	0.574841285090732	0.17371809027962112	11.969623869018506	0.007487943966106484	0.011072289236703968
THRAP3	-0.7832915947135255	0.8199359874247454	0.1737573214923416	51.53990860338308	3.7536755210927884e-11	1.6748856272478348e-10
LSM10	0.33691488887629434	1.24731217817978	0.138665622419966	14.778519443043479	0.00201604276341112	0.0033116052281650906
MRPS15	0.25741723966146957	1.6452359192467103	0.11926383796249417	19.211090185783178	0.0002472519197093385	0.0004704568946090406
C1orf122	0.1841398139186617	0.8320116141924955	0.16164084891433034	15.979045096451046	0.001145257159940469	0.001972530954931327
NDUFS5	-0.3334449465477068	3.2837337573418113	0.10756900045046977	111.0609587133913	6.486328353351898e-24	7.613951590165381e-23
CAP1	0.16331597348830743	0.8524776950253883	0.16949500873439097	27.43464514049083	4.77282630228323e-06	1.1900870812555897e-05
YBX1	-0.20858992024906567	10.149226609755782	0.0643562874217889	32.72559666381858	3.6797705795930797e-07	1.0379537716190462e-06
EBNA1BP2	-0.3011602306329802	0.4991291000826097	0.17881642646831414	34.499663614070414	1.553897846416537e-07	4.560092526214683e-07
CDC20	-0.3117739425144771	0.4607588748290842	0.17858476735068893	24.726069245657527	1.7616704873589705e-05	4.018399347847218e-05
ATP6V0B	0.04273160633962427	2.9024492136257383	0.09761453024762252	108.67786377606899	2.1127823092879312e-23	2.37066603233337e-22
RPS8	-0.013061481429231622	35.85626084709324	0.043124496219076734	77.76076521195137	9.273971633452004e-17	6.903454006169639e-16
PRDX1	-0.14060043786280652	0.7054806862098056	0.18873787311170537	29.396187785212533	1.848711123713968e-06	4.8224498714316505e-06
NASP	-0.3525927668565683	1.2154162067780068	0.1676081646106834	6.394437530784671	0.09391989562302315	0.11084436250636762
UQCRH	0.1464366224447551	15.664965298528477	0.04840105939279883	28.24979347039698	3.218937027878606e-06	8.241775007622068e-06
NRDC	0.048173915160736526	0.9071409130387144	0.17127541867276141	7.175184360130515	0.06651878470533297	0.08101170427800328
MAGOH	0.12338960508355125	0.38886686458237585	0.1855046190318959	12.349791514236585	0.006276114462174423	0.00941725729525877
HSPB11	-0.10827070357666535	0.5208429612084651	0.17538007565876718	6.788146787283949	0.07896572960737507	0.09458532447476793
MRPL37	0.27746067352036724	0.7500869404670969	0.16622814233226083	2.8208391077132546	0.42008090816387106	0.4405797016206648
DHCR24	0.41204855564168785	1.0767131998205093	0.15625443939950182	65.50098172851813	3.9191446122845314e-14	2.373259792994522e-13
USP1	-0.2574817472677642	0.7228125605846206	0.17545838422047508	12.328637377968334	0.0063381334151356005	0.00949165023699404
SERBP1	-0.05322355492570151	3.5850744638574064	0.09237917186101502	43.54009526417576	1.889839217286541e-09	7.2097366139481545e-09
SRSF11	-0.10639151495272538	1.3686077511937762	0.14644273063243848	2.5942242480132336	0.4585030106577981	0.47694314537409666
ZRANB2	-0.3153940172758326	0.5565719763837056	0.17692222720689707	7.611376150509386	0.054764732858112106	0.06811001005825516
TYW3	0.2430724913833367	0.8189820366507239	0.1701418209734187	9.005294059986227	0.029220581865797707	0.03807908448096268
FUBP1	0.32440891000257377	0.6650749017238382	0.17267908723226355	21.879741140219267	6.90994308769478e-05	0.000144843037799756
GNG5	0.23064321854112718	2.4828233495770764	0.10345718161267638	5.302746383164049	0.1509242816983321	0.17174530490056286
RPL5	-0.1674838685603837	9.063001567037842	0.06990963507001245	44.38095839826383	1.2525936065154068e-09	4.851415846554596e-09
SARS1	0.2805227304312179	0.6459024873353052	0.17019801006954904	15.052042922092369	0.0017727104686260855	0.0029500067340495163
PSMA5	-0.4282411078933336	0.399631017608186	0.1844511676551225	6.134782160264876	0.1052337730538311	0.12324385086734171
AHCYL1	0.42272254850948265	0.5098427615063795	0.17651715821906994	45.52550865055218	7.154385343049493e-10	2.821083212789025e-09
LAMTOR5	0.23325291070363893	3.2756913462702224	0.09142766455024302	13.459775800982243	0.003740814716701424	0.005848855796809809
ATP5PB	-0.42129305030398706	0.8022702085393807	0.1719354476391609	9.504998874965167	0.023278240216439237	0.030943026629169233
CAPZA1	0.5191449158317757	0.5867024119173716	0.17290726457345196	34.7174181967066	1.3977551198069252e-07	4.1336711488863716e-07
BCAS2	0.2810253510092747	0.3447793900736938	0.181499835346683	36.61885734358293	5.5400911863477386e-08	1.7760880567997163e-07
CSDE1	0.4091851087215127	1.100501183349353	0.15149952781175963	50.971144226499746	4.961827398647626e-11	2.1883666503862075e-10
PHGDH	-0.10845876737579874	0.5204534609053942	0.18257614625236016	11.206850882443177	0.01065835845365095	0.015243350515718228
RBM8A	-0.2232083787257767	2.29850551964077	0.11643700368684193	73.43418155373729	7.846157413392439e-16	5.492310189374707e-15
H2AC20	-0.45605524279988435	0.48163065757070617	0.23037127467131727	9.273215321235512	0.025870476707303906	0.03403305815116014
ANP32E	-0.23198563441968104	0.5382905078820088	0.17695353892476612	8.129636171526727	0.043407132558088424	0.055337747939551325
MRPS21	0.0028520910297721324	2.356063139245709	0.1083090426425367	17.292387155790493	0.000615321837032153	0.0011112202642734501
ENSA	-0.35295968561849467	0.8450949925015693	0.17066282645635997	17.08278523199624	0.000679568531505505	0.0012143109825262304
PSMD4	-0.1907874953310981	0.577985229104111	0.1785358773383711	52.86855559043943	1.955559796219719e-11	9.015662383780335e-11
PSMB4	-0.2956210001130237	0.5958586248462245	0.18087212916461076	5.450835062234546	0.14160897641736106	0.16162699926170004
SNX27	0.004351441706026397	0.6778499004124636	0.17352548500507534	60.04952843434603	5.736739771294504e-13	3.183369051271059e-12
S100A10	-0.15774381447979102	1.4738941251090292	0.14817120040976992	13.096863759771622	0.004431746339216311	0.006838063613391395
S100A11	-0.49081007487530853	0.6105931434086953	0.19071737517440776	50.55580556718178	6.083041808985971e-11	2.650578997027628e-10
S100A6	-0.13050654356955102	0.8845225428080464	0.17611422928669213	7.821948165320464	0.04983845635141832	0.06264702173992122
S100A13	-0.09797080389292577	0.881157598696838	0.178955311757925	3.0202599899012057	0.38851202007578245	0.4088754087142373
ILF2	0.06751039472899727	0.6751346406084363	0.174618591807027	15.066431139605811	0.0017607500169437333	0.00293330188412242
JTB	0.10238130760323064	2.8483265891318847	0.10361579764334938	55.4131845104439	5.6048237832948764e-12	2.7413336837525584e-11
RAB13	-0.00853056150702182	0.8621659487249204	0.16339482516601486	19.005640210770252	0.0002726657176360789	0.000516879360388393
RPS27	0.3754365148973334	32.49709487357538	0.04576451744656535	365.1706814509089	7.736891450319625e-79	4.071205639030258e-77
TPM3	-0.05518929127284504	1.5479370475985619	0.1375984389159406	12.108192453675656	0.007021580481949394	0.01044340332890329
HAX1	-0.2667350825780259	1.0462898090012018	0.16146834637331361	50.114301981618155	7.553686043129729e-11	3.2379002533190915e-10
CKS1B	-0.0187097414149763	2.0496454281851713	0.11629217736572707	38.80673986642978	1.9072372890359407e-08	6.525659423921178e-08
DPM3	0.30363308410272	0.5721592201455564	0.17277034689966667	24.319457735758988	2.1423061620538463e-05	4.8288909945260996e-05
KRTCAP2	0.32923274056415697	1.9673911994244868	0.11292372764816891	14.937854348438123	0.0018705342253174618	0.0030955456938053885
AL353807.5	0.31645035958287276	0.7214823927371832	0.19295751625504776	10.150717359307237	0.017327485455115855	0.02365093274106153
SSR2	-0.19346621208785145	0.736949584246705	0.17242636819550197	9.500274404453194	0.0233284414074228	0.03095582746758886
LAMTOR2	0.06849550206068773	1.432833382550477	0.1360541097403151	6.163976977042694	0.10389928969306716	0.12186803694974672
LMNA	-0.2681766186598017	0.7068192195042609	0.17486570020814513	6.875143508941619	0.07598566150405307	0.09137440461401496
CCT3	-0.17807200577243007	1.7665230479019234	0.13421082535528342	4.644826094430755	0.1997302313969682	0.22182556995034458
NAXE	0.22445640504361425	0.6020880659231199	0.17329034474493704	7.3215887301266775	0.06232422866485445	0.07657550156406433
GPATCH4	-0.00649785213136849	0.9787692160557881	0.16348058351035918	4.295666451498619	0.23125669011653846	0.25356732057420484
HDGF	0.1569062946515591	1.077221685127644	0.16328210575300056	42.004772452211	4.0027815044626636e-09	1.4789938440217977e-08
TAGLN2	0.45386432354121214	1.1500809927058206	0.1438448691525158	10.820274665748002	0.012738495247727995	0.017949163202246467
AL121985.1	0.16660943622159707	7.432999570319403	0.10118883844821956	6.726858302039545	0.0811325385570606	0.09687656794841507
PFDN2	0.016231900036342103	1.3431002512615835	0.15130559988701964	7.935551880824278	0.04736260221739863	0.05988014166010796
MPC2	0.14161891795237028	0.901990387115682	0.16192835816820386	16.914124995273596	0.0007360717211515517	0.0013030689634307051
PRRC2C	-0.013143048914904963	2.2206519579133936	0.11585465693092593	12.738485474190384	0.005237670147046464	0.007984699944448455
PRDX6	-0.5598563915150743	0.8854969303149539	0.17617291843970775	24.864396467628467	1.648204721403817e-05	3.7765171244177545e-05
GAS5	-0.04036028110477543	3.940679517876446	0.10916388379421565	17.112965041962525	0.0006699225849913089	0.0011998848177191752
CACYBP	-0.14937061421897416	1.1644358008070799	0.1554382894742155	7.333919760676508	0.06198288349803111	0.07627893565967378
TOR1AIP2	0.10452732294700039	0.5184227020249994	0.17527125302764937	39.29276168830711	1.5046667015623568e-08	5.230344844155254e-08
DHX9	0.1716700300948473	0.6488030819543056	0.17232980192254302	13.046538880926164	0.00453703573239336	0.006986394074300977
TPR	-0.42573894913728577	0.9065650600675155	0.17133153038890483	7.0460595221411495	0.07044409896772308	0.08545126790520303
TIMM17A	0.1400638805146769	0.8962015664547397	0.16427142846817552	4.579470173972368	0.20531032415671685	0.22785713066410904
SNRPE	-0.05853870685275677	3.997332261043872	0.09015031707561409	6.850047956851995	0.07683398062740054	0.09232177514756948
