	log2FoldChange	baseMean	lfcSE	stat	pvalue	padj
ISG15	0.0561867938348491	0.526797502006656	0.1890051731707014	59.102518166557275	1.8626504474196246e-11	4.4205358985417534e-11
AURKAIP1	0.008487462460095957	4.094618729082747	0.06733369034930388	783.9648888031006	3.404959667116087e-167	2.47427069143769e-165
MRPL20	0.15964214913180313	3.3403537481998713	0.08032142530831685	36.69190468757006	6.904482351947188e-07	1.1733006758431413e-06
SSU72	0.4627655488175444	1.3604938640536914	0.12165766723320416	80.68042595298175	6.046241868246664e-16	1.894571887257579e-15
GNB1	0.3341160027353383	0.7096306798886911	0.16325871822426916	126.80945299905034	1.130984435492104e-25	5.714841882652155e-25
FAAP20	0.3900017004604627	1.4036984216913266	0.11204583050611175	55.44554356834851	1.0569433469128392e-10	2.3930200999836684e-10
RER1	0.3499365024564735	0.38963642825204853	0.16791544528279131	8.203517459693103	0.1453703192963156	0.15204599537092367
RPL22	-0.1293051317985975	8.05645193143297	0.06557167158197202	56.602913705661194	6.10546411949427e-11	1.4052697204145182e-10
CAMTA1	0.379961040388011	0.8463690971239994	0.15081129259216366	62.93360687825225	3.004809665417219e-12	7.579073635415994e-12
PARK7	-0.10134285114004223	3.0789551494380984	0.08505485338830548	75.3465753084165	7.87566935818263e-15	2.36580146468242e-14
ENO1	-0.7800372740040826	3.9676945507988246	0.09673968484989044	225.6166659359369	9.302526371602487e-47	9.72305153634616e-46
TARDBP	0.4493026511149923	0.5149273383219407	0.16670771287916464	49.44515622861218	1.7996968867253627e-09	3.736513536248849e-09
SRM	0.17272975761178774	2.8025878950572523	0.08308649193298624	80.97382185430251	5.249069520665791e-16	1.6515629048527828e-15
MAD2L2	-0.10038286671715432	0.45733543133670046	0.16682064831278734	1.8594488382022973	0.8682310549367698	0.8705128711126876
SZRD1	0.42738761695897287	0.47305864107542234	0.1650433008411586	34.641048524908	1.774350396480269e-06	2.924037478432927e-06
SDHB	-0.3901494731672834	0.34475876118973847	0.16802029513186212	11.859859322663397	0.036759315866565515	0.04094504818421823
CAPZB	-0.17962469000428427	0.4890791882896947	0.1667475498498415	21.109515746548823	0.0007723590984141349	0.0010125601238659535
MICOS10	0.4206162578592046	2.6869486405618446	0.09019286287527088	52.0759999126858	5.204584623970277e-10	1.1170458700673197e-09
HP1BP3	-0.034136456433364576	0.64826781992671	0.1661822338728614	22.567507098739952	0.00040826363407409755	0.0005498767039691729
CDC42	-0.4093404732785892	0.73121344159911	0.1661407797086432	10.89575327662169	0.053486516691610614	0.058258689843967024
HNRNPR	-0.4721033226852019	0.9788697440815188	0.1605392205154452	18.69949037369406	0.0021862056665716374	0.002745802343364871
ID3	-0.15643272021937893	0.9539014903137342	0.14577768415486203	181.39243522284414	2.6980090024739193e-37	2.1113649937308722e-36
RPL11	0.04458959759927597	34.34577880487908	0.04391089468321214	9.356224755945732	0.0956716985401693	0.10209441396664219
SRSF10	0.2262688440171026	0.6478917620107101	0.16292950807311612	17.344210856412246	0.0038912032425818944	0.004800304080986234
SRRM1	0.05456873809295636	2.6368420907970593	0.09987072494694858	37.72124607502337	4.292347606795907e-07	7.451788905541016e-07
STMN1	-0.8919907144615283	1.0204533756800644	0.16256586007361268	231.3315759167781	5.543417064755297e-48	6.129894522330857e-47
ZNF593	0.044135885059339845	0.5620885874333087	0.16671962081446884	29.472583397935523	1.8727154556626024e-05	2.8099938892243177e-05
SH3BGRL3	0.17472457967107205	0.6207603107085046	0.16210369517618006	13.46883644576883	0.01935983819266088	0.02231352951812727
HMGN2	0.1151933767696885	5.281076130934502	0.0732433450271365	74.42314876732053	1.2273978896500631e-14	3.622841740050283e-14
NUDC	-0.7400476308376509	1.2792273124975342	0.1516427136681902	71.691704848261	4.554174964279448e-14	1.303878235551677e-13
WASF2	0.3392625317746993	0.8140616573706692	0.15729654189872083	38.59035279940508	2.8711350286789514e-07	5.088678343512288e-07
DNAJC8	-0.4754453115726328	0.8157723536013624	0.16613789887624228	20.688134782309135	0.0009276343662828622	0.0012067945805180288
ATP5IF1	-0.09687552351621974	2.5524294811751815	0.1009329804845761	42.29096894785107	5.143416090055704e-08	9.642325495608113e-08
SNHG3	0.30586171696170866	1.4039719942413054	0.13261412168593595	87.3506215706966	2.418798596596251e-17	8.257464560192123e-17
YTHDF2	0.18178432879938095	0.5561973282598666	0.16581412286784541	20.392814029919464	0.0010543917302773323	0.0013647173709950883
ZCCHC17	-0.16597511908392854	0.8372567576055557	0.15958096793540244	19.78075385189004	0.001373809575955683	0.0017514063599902861
PTP4A2	0.3276616686137497	0.6968326813657961	0.16244279715974771	72.99659034582692	2.434936915834074e-14	7.064094550499614e-14
KHDRBS1	0.04818273141671665	0.9426115765491868	0.15972654345079904	49.289506839713795	1.9365366404429535e-09	4.015156132222754e-09
KPNA6	0.4674561069405907	0.6390960657797287	0.16706348023201603	97.08732267837877	2.171038922862095e-19	8.324134161526526e-19
TXLNA	0.65506702695968	0.48834174359550014	0.16884081334250653	36.10805744145091	9.036913050344914e-07	1.5254789065073384e-06
EIF3I	-1.1503543498697046	0.47353319342530825	0.1662321211185836	32.713939490090524	4.289075910337877e-06	6.860723101861216e-06
MARCKSL1	-0.24952347934675537	1.4534241613170171	0.12820580992594488	100.74353488025918	3.684098544330561e-20	1.483359994366342e-19
ZBTB8OS	-0.03929126061774715	0.4939867098179279	0.166038980761208	22.653303294589932	0.0003931643305790795	0.0005313162398229561
YARS1	0.2741984779517497	0.5200403898155839	0.16856694311255502	16.18482727650553	0.006335724727861404	0.007685465766865265
TMEM54	0.3325958691541831	0.40382096213225943	0.1672825052573608	10.022106047791567	0.07461129876435045	0.08029396467870155
AK2	-0.22627787578479233	0.5915369753329167	0.16581544798561043	19.966108269549295	0.0012681643241905047	0.0016248688150417383
SMIM12	0.232699461926268	0.4872756888587009	0.16680144992447915	40.530202862431906	1.1673417606315171e-07	2.1257321321285145e-07
SFPQ	-0.23828799279547816	1.0650449368549761	0.1561681826200415	23.700400437533972	0.00024786462447256983	0.00033953448558809833
PSMB2	-0.5147709904255335	0.8927852666281849	0.16032062425443663	179.74521702176753	6.06533778605194e-37	4.651108272118221e-36
CLSPN	0.6355223067424759	1.5273707900515954	0.12051544421639335	70.02854816524996	1.0108674485243618e-13	2.840854008191853e-13
TRAPPC3	0.09721644910706369	0.45847222414145833	0.16550402954010363	15.440836817549098	0.00863579060374064	0.01030353124418156
THRAP3	-0.7866681298483186	0.7464990812875676	0.16581775408491184	115.31160537399956	3.085179160959823e-23	1.4138088287161232e-22
LSM10	0.4925613814788988	0.862247200854355	0.13837169297439256	44.83444360343856	1.567776206184246e-08	3.075098317014344e-08
MRPS15	0.14340515026716322	1.2480326577326726	0.12091697700378003	38.266446517185614	3.335615093309834e-07	5.850745554472193e-07
C1orf122	0.2197789623541624	0.6432383055249068	0.15753473840940757	13.396844620216143	0.019930571068362317	0.022919405765125016
NDUFS5	-0.2775077471529301	3.0816970273925777	0.09589979666024939	204.83585916410811	2.6225940530125557e-42	2.3680938017142957e-41
CAP1	0.5139569820569442	0.6148730473880168	0.16273088673595934	73.83848251512063	1.625334675467701e-14	4.7697321437763684e-14
YBX1	-0.2806735398960119	8.587926693116579	0.05955443911330983	99.04308379331269	8.408329225276285e-20	3.3155324025249644e-19
EBNA1BP2	-0.6079130285422405	0.4889906922335966	0.16735737630087766	100.09762749627771	5.04058265594005e-20	2.0083365882413882e-19
CDC20	-0.6984604502300837	0.4967917579233487	0.17201585210050394	127.1657593065338	9.503530656240038e-26	4.8180690303728565e-25
ATP6V0B	0.18364508125336154	2.075718183039226	0.09534166747240164	158.30942985192087	2.2689595152603116e-32	1.4733754128881853e-31
RPS8	-0.0820341996414359	33.59658825411699	0.04439493880497262	69.63176998428389	1.2225212235600368e-13	3.40432004954857e-13
PRDX1	-1.3450971443231172	0.7528909962539302	0.18094584410405487	161.10242425674733	5.762180818046925e-33	3.856617512429652e-32
NASP	-0.824426086048102	1.2902736324211532	0.16292347948913488	79.72289290592926	9.590139731616283e-16	2.9866435164176427e-15
UQCRH	0.35744571785051726	11.687924127289776	0.049059670210078773	219.6174713070759	1.794362005411784e-45	1.8014450133278831e-44
NRDC	-0.00013522740918880315	0.7338028190515239	0.16840962539124882	21.28422835006677	0.0007157640610873	0.000940788938173316
MAGOH	-0.7888594365990564	0.3863172717674861	0.17493487968940233	35.18626193403634	1.381198125261733e-06	2.308552397754003e-06
HSPB11	-0.3095951546852714	0.42930851580668145	0.16629028715294406	11.658910745951289	0.03977250276994864	0.04404415038239595
MRPL37	-0.16883117804668138	0.6332879889020483	0.1626878435875144	6.320539986185395	0.2762663695082916	0.28427679020205865
DHCR24	0.6085652584131044	0.7455742853945846	0.15987143277813667	143.2304353714262	3.679951972816839e-29	2.09537563825317e-28
USP1	0.06538598689569572	0.5533971898368308	0.16626539699061207	13.64178550381439	0.018052311728517262	0.020917105313376875
SERBP1	-0.3869210208307671	3.1653074367488965	0.09873656720138248	74.4667318683496	1.2019674288005524e-14	3.561557856989598e-14
SRSF11	-0.17730173171973979	1.1894293692836155	0.14340187284379452	8.474927479990583	0.1319311722404537	0.13865493721689556
ZRANB2	0.05718992311845847	0.49063461093184213	0.16749878928321338	11.035557159834752	0.05067952973801539	0.05543868270982902
TYW3	0.48336483697640764	0.5612206866208266	0.16503161313219192	33.71737054901678	2.7102269342744734e-06	4.3951182802368184e-06
FUBP1	0.5529438083016699	0.5371854043889689	0.1671847436194742	40.11403425565004	1.4163447231733475e-07	2.566914545798727e-07
GNG5	0.334122528067201	1.9036258022829384	0.10464790505926551	38.89249938126159	2.4961396471260924e-07	4.434352853916667e-07
RPL5	-0.40120691950428994	9.19814576730358	0.06537540166941212	157.61336349443445	3.1925751291648435e-32	2.038439182889352e-31
