GO	[-2.98 -0.95]	[-0.95 -0.59]	[-0.59 -0.38]	[-0.38 -0.18]	[-0.18 -0.03]	[-0.03 0.10]	[0.10 0.23]	[0.23 0.39]	[0.39 0.56]	[0.56 0.83]	[0.83 1.83]
GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP	4.233	2.210	0.479	0.479	-0.366	-1.342	-1.342	-1.342	-0.710	-0.710	-0.687
GSE14000_TRANSLATED_RNA_VS_MRNA_16H_LPS_DC_DN GSE14000_TRANSLATED_RNA_VS_MRNA_16H_LPS_DC_DN	-2.976	-2.053	-2.053	-0.266	-0.266	-0.661	1.327	0.745	0.745	2.987	0.552
GSE13547_CTRL_VS_ANTI_IGM_STIM_ZFX_KO_BCELL_2H_UP GSE13547_CTRL_VS_ANTI_IGM_STIM_ZFX_KO_BCELL_2H_UP	3.190	2.626	1.649	-1.982	-1.213	-0.741	-1.213	-0.243	-0.741	-0.741	-0.416
GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_DN GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_DN	2.545	2.066	1.252	-2.326	0.920	0.414	-0.968	-0.968	-1.497	-0.968	-0.932
GSE42724_NAIVE_VS_B1_BCELL_DN GSE42724_NAIVE_VS_B1_BCELL_DN	-0.731	-0.731	0.418	2.068	3.868	0.274	0.274	-0.330	-0.330	-2.670	-1.899
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	-0.667	-0.667	0.361	1.297	0.361	-0.667	-0.667	3.595	-0.667	-0.667	-0.240
GSE42021_TREG_PLN_VS_CD24INT_TREG_THYMUS_DN GSE42021_TREG_PLN_VS_CD24INT_TREG_THYMUS_DN	4.629	-0.353	0.565	-0.835	-0.835	-0.835	0.254	-0.353	-0.835	0.565	-0.341
GSE27786_BCELL_VS_CD8_TCELL_DN GSE27786_BCELL_VS_CD8_TCELL_DN	1.833	-0.274	-0.709	3.399	-0.274	-0.709	-0.274	0.330	-0.709	-0.709	-0.693
GSE11924_TFH_VS_TH1_CD4_TCELL_DN GSE11924_TFH_VS_TH1_CD4_TCELL_DN	-0.616	2.497	0.300	1.377	-1.215	0.932	-0.616	0.300	-1.215	-0.302	-1.187
GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_UP GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_UP	-0.458	-0.458	0.186	-0.458	-0.458	-0.458	-0.458	-0.458	0.577	0.186	5.030
