	log2FoldChange	baseMean	lfcSE	stat	pvalue	padj
ISG15	-0.7503250270880659	0.8069611707602622	0.10782595511001779	53.666015627116394	1.322026352139802e-11	6.284773250359308e-11
AURKAIP1	-0.7779165039603091	5.024940024720497	0.039803722610135345	516.0299499716948	1.6019051782558095e-111	1.3580596122324252e-109
MRPL20	-0.11889942830066619	4.306866711565512	0.04583851025268465	19.314849742404476	0.00023532735506871214	0.0004500119596928004
SSU72	0.16057412299888427	1.9020406501401577	0.06969550011359907	37.382329193405894	3.8193312549834335e-08	1.2427077814722216e-07
GNB1	0.6211139578491764	0.9761256123042164	0.09077256038999755	42.06485615685415	3.8869723395556294e-09	1.4396892694567695e-08
FAAP20	-0.26171066790981945	1.7623953592492534	0.06873555787204577	32.49507020551664	4.115573311737047e-07	1.1523605272863732e-06
RER1	-0.16555174144809207	0.5076351125571329	0.09883832448580017	7.712374390988771	0.052345544682784885	0.0653676769115628
RPL22	0.045503380344346436	8.39930032005122	0.03741653645369898	5.109852563593449	0.163927678809771	0.18502488007670898
CAMTA1	0.44856595501656404	1.0724859821233825	0.08772905427511057	44.816661202371506	1.0121168502118307e-09	3.95010310338428e-09
PARK7	-0.20265045304562004	3.737693018497315	0.049483162711764055	18.22082565853998	0.00039604773290310015	0.00073079666313196
ENO1	-0.1533985582560011	3.994713197414922	0.05059448957815264	34.94962385582039	1.2484728377394253e-07	3.721034278106178e-07
TARDBP	0.6262147657457778	0.6713086643889711	0.09452930173061512	28.138322342788342	3.3971509063141063e-06	8.668983750895194e-06
SRM	-0.24921759732795232	3.6776823248712724	0.04774465118450003	31.836284870318195	5.666174174294105e-07	1.569252593461489e-06
MAD2L2	-0.04279385474015947	0.529328019073176	0.09826529375086053	1.5619115943736688	0.6680566076059479	0.6791834664934554
SZRD1	0.21252584441546093	0.6281347822352115	0.09458706415952539	14.509120461701059	0.0022880309359333217	0.0037271445864458766
SDHB	-0.19211854349208046	0.40757389652697984	0.10144108954244913	4.9258909808568205	0.17730490150840114	0.19850864248115932
CAPZB	0.03260572848227529	0.5652257129425454	0.09783988330139091	9.580748534231134	0.02248766740503481	0.030049194798671734
MICOS10	0.12095731926571528	3.4041630916778565	0.05414951513720446	20.295141999742555	0.00014743668215488778	0.00029030758318497905
HP1BP3	0.3525362449133446	0.7640695232374303	0.09400943768867978	12.79190161452243	0.005108939924540164	0.007827552534988243
CDC42	0.04177199146279727	0.9162614593125394	0.0913698339836508	5.93011708265567	0.11506012510408717	0.13362385913914537
HNRNPR	0.15697370330147337	1.071786804230072	0.08778678849343939	7.473676554868689	0.05823868542481951	0.07213655353756053
ID3	-0.8925699440329184	1.3277054213174049	0.0801873413303893	134.19044272135307	6.759544568743614e-29	9.640247674675472e-28
RPL11	-0.05186667727942216	37.93487130377802	0.026452137090261625	10.610948028810526	0.014026854818574117	0.019583696663443825
SRSF10	0.15003524451634984	0.7744557292747427	0.09295469320222179	7.240601398291801	0.06461181116179145	0.07906786193495889
SRRM1	0.21888629093467907	3.2935077878990504	0.05597397359785047	18.944514091186647	0.0002807168708616774	0.0005313243065158131
STMN1	-0.4486203966312112	0.8769821946820962	0.0910067727594868	25.379122806475607	1.2863857144389845e-05	3.0061632469125425e-05
ZNF593	0.14401921576953308	0.7359184318667095	0.09689663692119957	19.41426205953121	0.000224439705899301	0.0004308113096884696
SH3BGRL3	-0.2234376133429584	0.7530010399052608	0.09406912881714555	7.38919766420986	0.06047483895740171	0.07454329907027062
HMGN2	0.24048416092440947	6.437427386858556	0.04232653738550391	70.83897270632406	2.822244311577368e-15	1.8889231664329226e-14
NUDC	-0.10783198691622907	1.3384975036837117	0.08043928879989462	3.8017735761832228	0.28367990148837363	0.30528598707423005
WASF2	0.38959255030045775	1.0505395146035996	0.0885543052948499	17.78504851954949	0.00048710587790769185	0.0008912752634138342
DNAJC8	-0.11468322284991996	0.9436330580082171	0.09272744372451695	6.62487623403922	0.08486567159011782	0.100939216560031
ATP5IF1	-0.3640649115882825	2.88186063150296	0.059059905720438885	45.29197729333828	8.020703596298929e-10	3.1383573558851703e-09
SNHG3	0.3548260695663493	1.6430730455449618	0.079038700263377	66.39287213213811	2.5256392067505558e-14	1.560374667814311e-13
YTHDF2	0.20352051968425092	0.7116515846916861	0.09454237065179484	7.785415767918494	0.050661067143361424	0.06357630629997495
ZCCHC17	0.07593012628341561	1.1057978427197783	0.08597363693139247	3.3815763002539825	0.33644916818607684	0.3582843200641683
PTP4A2	0.48458613655842575	0.9511192215667039	0.09021712189385966	29.699085358601224	1.59655710691487e-06	4.2059669139885965e-06
KHDRBS1	0.475723465077269	1.1354168671542986	0.08858739037448397	29.463657148502534	1.7893087306303434e-06	4.68350792957445e-06
KPNA6	0.7790530117688853	0.9094227783324226	0.09245449437789005	57.37929519411591	2.1327612854020315e-12	1.0958228018597644e-11
TXLNA	0.4772846082302351	0.6726067682843557	0.09569220002534626	23.276702995010965	3.535986282897357e-05	7.790358593197272e-05
EIF3I	-0.03580001705978477	0.5071886322657484	0.09784704503238104	4.825519218022237	0.18502849459648943	0.2066465903388961
MARCKSL1	-0.350331434840186	1.566464996638707	0.0738796589301015	37.56086208072702	3.501085830420406e-08	1.151434693366711e-07
ZBTB8OS	0.11276972535403577	0.6865379752229276	0.09395733740467446	4.071228284847166	0.25387477156910493	0.2757387198679389
YARS1	0.32540864212284853	0.6781094402990888	0.09756500283316957	7.299164771926371	0.06294963991444337	0.0772816979158814
TMEM54	-0.023899536329484678	0.5130691014542069	0.09952682931824786	1.8111417010441073	0.612513383371484	0.6264714631534078
AK2	-0.22546076359341377	0.7656843195047627	0.09204657509699524	7.617699448077474	0.05461013633760947	0.06797313870407182
SMIM12	0.050300884758580855	0.6958628054610212	0.09420422634796358	10.455948905078913	0.015062717982197325	0.020858173902752377
SFPQ	0.24276379347638496	1.2037721895456728	0.08496375207871473	14.46845241142546	0.002332135733921871	0.0037859990744306122
PSMB2	-0.7826569877318269	0.8712070223177755	0.0914342408079251	72.30535163154309	1.3693174723746106e-15	9.412515598394846e-15
CLSPN	0.2729654092466725	2.141293852058047	0.07063873098114239	20.415516692228266	0.000139200239706717	0.000275154877969495
TRAPPC3	0.09245280302239756	0.574841285090732	0.09569810592957756	11.969623869018506	0.007487943966106484	0.011072289236703968
THRAP3	-0.493573529251494	0.8199359874247454	0.09158316685927052	51.53990860338308	3.7536755210927884e-11	1.6748856272478348e-10
LSM10	-0.15400765674306915	1.24731217817978	0.08040650226410528	14.778519443043479	0.00201604276341112	0.0033116052281650906
MRPS15	-0.20938399852684786	1.6452359192467103	0.07010817365632953	19.211090185783178	0.0002472519197093385	0.0004704568946090406
C1orf122	-0.23851248767696542	0.8320116141924955	0.0905472832226524	15.979045096451046	0.001145257159940469	0.001972530954931327
NDUFS5	-0.5074457011808559	3.2837337573418113	0.057285893093223114	111.0609587133913	6.486328353351898e-24	7.613951590165381e-23
CAP1	0.44171525485827584	0.8524776950253883	0.09198278366799786	27.43464514049083	4.77282630228323e-06	1.1900870812555897e-05
YBX1	-0.16212598064994269	10.149226609755782	0.034676774396865985	32.72559666381858	3.6797705795930797e-07	1.0379537716190462e-06
EBNA1BP2	-0.6935028313294046	0.4991291000826097	0.10091910889501331	34.499663614070414	1.553897846416537e-07	4.560092526214683e-07
CDC20	-0.4956618436731997	0.4607588748290842	0.10196894548137277	24.726069245657527	1.7616704873589705e-05	4.018399347847218e-05
