GO	[-2.27 -0.87]	[-0.87 -0.57]	[-0.57 -0.38]	[-0.38 -0.19]	[-0.19 -0.04]	[-0.04 0.11]	[0.11 0.27]	[0.27 0.43]	[0.43 0.60]	[0.60 0.82]	[0.82 2.38]
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	8.899	0.825	-0.556	-0.556	-0.302	-0.556	-0.302	-0.556	-1.681	-0.556	-1.655
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	-2.384	-0.502	0.763	1.265	-0.716	2.265	1.566	0.763	-1.351	-0.502	-2.333
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	3.191	2.113	-0.243	0.892	-0.740	-0.436	-0.436	-0.436	-0.740	-1.980	-1.187
KIM_MYC_AMPLIFICATION_TARGETS_UP KIM_MYC_AMPLIFICATION_TARGETS_UP	-0.610	3.637	1.254	0.921	-0.967	-2.324	-0.369	-0.610	-0.610	0.415	-0.591
NOUZOVA_TRETINOIN_AND_H4_ACETYLATION NOUZOVA_TRETINOIN_AND_H4_ACETYLATION	2.627	-0.408	-0.919	-0.919	0.876	-0.919	0.876	-0.408	-0.408	0.876	-0.905
ZHANG_RESPONSE_TO_CANTHARIDIN_DN ZHANG_RESPONSE_TO_CANTHARIDIN_DN	1.531	2.043	1.088	-1.426	-0.411	-0.411	-1.426	0.426	-0.411	-0.411	-0.757
MCBRYAN_PUBERTAL_BREAST_4_5WK_DN MCBRYAN_PUBERTAL_BREAST_4_5WK_DN	-0.961	1.292	-0.437	-0.437	0.823	-0.437	-0.437	-0.961	0.456	-0.961	2.540
HUANG_GATA2_TARGETS_UP HUANG_GATA2_TARGETS_UP	0.774	0.425	1.222	0.425	1.762	-1.003	-0.466	-1.003	-0.205	-1.003	-0.988
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	-1.003	-0.205	1.222	-0.466	-0.466	0.774	0.425	2.387	-0.466	-1.003	-0.988
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR	-0.583	-0.200	0.433	-0.200	0.433	-0.583	-0.200	-0.583	-0.583	4.051	-0.574
LIU_VMYB_TARGETS_UP LIU_VMYB_TARGETS_UP	-0.200	3.081	-0.583	-0.200	-0.583	-0.583	-0.583	-0.200	1.495	-0.583	-0.195
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	-0.458	-0.458	-0.458	-0.458	0.578	-0.458	-0.458	0.578	-0.458	2.766	0.587
BURTON_ADIPOGENESIS_7 BURTON_ADIPOGENESIS_7	0.186	-0.458	0.186	-0.458	-0.458	-0.458	0.186	2.766	-0.458	1.150	-0.451
APPIERTO_RESPONSE_TO_FENRETINIDE_UP APPIERTO_RESPONSE_TO_FENRETINIDE_UP	-0.332	-0.332	3.584	0.272	-0.332	0.272	-0.332	-0.332	-0.332	-0.332	0.276
PID_ERB_GENOMIC_PATHWAY PID_ERB_GENOMIC_PATHWAY	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	0.420	3.514	-0.208	-0.204
