GO	[-2.43 -0.84]	[-0.84 -0.55]	[-0.55 -0.37]	[-0.37 -0.19]	[-0.19 -0.04]	[-0.04 0.11]	[0.11 0.28]	[0.28 0.42]	[0.42 0.62]	[0.62 0.85]	[0.85 2.03]
GSE42021_CD24LO_TREG_VS_CD24LO_TCONV_THYMUS_DN GSE42021_CD24LO_TREG_VS_CD24LO_TCONV_THYMUS_DN	2.341	1.487	0.565	0.822	0.822	-0.422	-2.455	-0.422	-0.422	-1.606	-2.399
GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN	2.909	0.655	2.426	-1.241	-0.537	0.655	0.655	-1.241	-1.241	-1.241	-1.774
GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP	5.030	1.194	-0.710	0.244	0.479	-1.342	-0.710	-0.710	-0.366	-0.366	-1.311
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_UP GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_UP	4.233	-0.366	-0.710	1.667	-0.710	-0.710	-0.710	-0.366	-1.342	0.796	-0.687
GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_DN GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_DN	2.422	-0.751	-0.751	-0.751	-0.300	1.724	0.655	-0.751	-0.751	-0.751	0.674
GSE21927_SPLEEN_VS_4T1_TUMOR_MONOCYTE_BALBC_DN GSE21927_SPLEEN_VS_4T1_TUMOR_MONOCYTE_BALBC_DN	2.821	-0.710	-1.342	0.796	-1.342	-1.342	0.244	0.796	0.244	-0.366	0.499
GSE45837_WT_VS_GFI1_KO_PDC_DN GSE45837_WT_VS_GFI1_KO_PDC_DN	2.557	2.557	-0.536	-0.536	0.943	-0.367	-1.044	0.527	-1.408	-0.757	-1.800
GSE24210_RESTING_TREG_VS_TCONV_DN GSE24210_RESTING_TREG_VS_TCONV_DN	3.655	-1.367	-0.396	1.081	0.562	0.799	-0.396	-0.932	-0.619	-0.619	-1.319
GSE29949_MICROGLIA_BRAIN_VS_CD8_POS_DC_SPLEEN_UP GSE29949_MICROGLIA_BRAIN_VS_CD8_POS_DC_SPLEEN_UP	2.226	-0.583	-0.583	-0.583	-0.583	-0.583	-0.200	-0.583	0.893	-0.200	1.526
GSE22589_HEALTHY_VS_HIV_INFECTED_DC_DN GSE22589_HEALTHY_VS_HIV_INFECTED_DC_DN	2.385	-0.542	0.475	-0.542	-0.542	-0.542	0.475	-0.542	0.969	-0.542	-0.171
