	log2FoldChange	baseMean	lfcSE	stat	pvalue	padj
ISG15	1.1260696313811622	0.2503836875126097	0.4803002909465204	21.588455474601915	0.0006268082240724797	0.0016722191432423149
AURKAIP1	0.3125630752400654	3.3788844794260315	0.2094276104532682	267.8602728405049	8.061520357122675e-56	4.100626688323067e-54
MRPL20	0.19657807422605622	2.4986687257549045	0.2749723750911994	12.025808677959503	0.03443584819990694	0.05724303306433333
SSU72	0.3607069630590322	0.8570195210425883	0.4222914784908611	15.606423127767357	0.008062377803841338	0.01608259938387174
GNB1	0.3283757565090368	0.5246802795372861	0.439895236175983	59.732090782568775	1.3806885870490425e-11	9.938352753947353e-11
FAAP20	0.7249285764791951	1.1800132528092868	0.36596740769841246	26.684869037459976	6.569418335109068e-05	0.00020829914592290373
RER1	0.08504803806126739	0.2831162993205976	0.4674054094347173	1.2620556374949956	0.938787263105128	0.9449797912258742
RPL22	0.257112619820208	8.330413269346552	0.16079526925877563	35.376319541705016	1.2656156920668656e-06	5.349943340980712e-06
CAMTA1	1.5699589694232332	0.7025663702846738	0.4221439289762243	14.83343055750629	0.011098285858284216	0.021437954708533814
PARK7	0.17927531942763456	2.4623102399002943	0.25072480876259323	53.53234457769122	2.6148434578269973e-10	1.6488640977867758e-09
ENO1	-0.8030072119833097	3.5498086925635137	0.2327525172075179	88.8451198828152	1.1745646480650994e-17	1.2534165405226165e-16
TARDBP	-0.40887202386395316	0.37631979625699186	0.4532355742408299	22.983952023594156	0.0003399589890077349	0.0009501417897908488
SRM	0.442752309032992	2.0867483759819514	0.27214103007930623	46.984036901119	5.724197869895087e-09	3.1085857471387555e-08
MAD2L2	0.5044189621558117	0.40707219134527156	0.4465400773666476	13.233204419463164	0.021288695407318866	0.0378190328190554
SZRD1	0.19166105647186216	0.35136562878687405	0.4557509104776893	13.82362157359512	0.016769476639566766	0.03046454922854629
SDHB	-0.05055720671336802	0.27150952605231077	0.46529217276116763	10.866495093174308	0.054092195752974956	0.08457447819573749
CAPZB	-1.1361607683209403	0.4144544882734049	0.45855882892192196	20.540363274029005	0.0009890634760588819	0.0025238902592528735
MICOS10	0.18483421972934863	2.124581719611626	0.2973944323987431	5.678571666354401	0.3387617958465203	0.3994980683630525
HP1BP3	-0.5902448064378786	0.5278904729388976	0.44428856312563403	10.357871750442428	0.06570736077911479	0.09996952397699818
CDC42	-1.0871366693980367	0.5278648524141237	0.4460690973136936	4.890805272666967	0.42935142589774683	0.4885833526621638
HNRNPR	0.38092217995712063	0.8763894001492767	0.4190715255557763	2.4087957715837547	0.7901635405492	0.8163774968707375
ID3	-0.01987424634914745	0.5787329734833455	0.4460192773283119	59.239734227304325	1.745001424715439e-11	1.238545197263144e-10
RPL11	0.189424165205564	34.05712450659975	0.09709334188086258	67.05911461197138	4.1887449034608295e-13	3.277961396246782e-12
SRSF10	-0.28236301201944763	0.5041781356092607	0.43933700599678466	20.30756577320517	0.0010940526561312755	0.002773296267867652
SRRM1	-0.22886450376085798	2.1085079522100414	0.30713399381882	24.59418605625251	0.00016685482994617857	0.0004945510572718514
STMN1	-0.9671507927127156	1.084843603706976	0.37517288681796424	98.15681947407484	1.292473305029377e-19	1.590576018931314e-18
ZNF593	-0.29152003445417896	0.4280947392049452	0.44914551200751435	11.007800083280017	0.05122554995116592	0.0807543277122719
SH3BGRL3	0.2693052285800384	0.5248617067194988	0.4495779584420657	10.878701137980897	0.05383873576463016	0.0844058189591334
HMGN2	-0.17060777946527028	4.367706476690464	0.22173932665941265	15.833183562473096	0.007336837614247523	0.014928018932455628
NUDC	-1.1116807743262807	1.1402761214478874	0.37232839790147626	45.24408805372241	1.2941929795282088e-08	6.672089482297454e-08
WASF2	1.079896882086026	0.5857923131891363	0.44101885862391926	13.710889982174194	0.0175540205541551	0.031738667494834935
DNAJC8	-0.4142958311851345	0.6704801681784035	0.44631429996175426	13.965824236796834	0.015827968603872495	0.029030625107583446
ATP5IF1	0.04446082733499815	2.368466720398172	0.2810853911070636	3.8075833496650375	0.5774384487245477	0.6227357404619505
SNHG3	-0.005021123727053072	1.1602337636119755	0.4017783835508264	18.915599442638268	0.001992964728752866	0.0047519752751201145
YTHDF2	0.4065477507650219	0.4069744185662841	0.4511890192194754	15.081136405659436	0.010021222498295512	0.019555480220459016
ZCCHC17	-0.8546635050813451	0.6097027671154414	0.4411007771577106	6.624158797774726	0.2501256308440387	0.3088120652653747
PTP4A2	0.43254367106774677	0.4622502434575763	0.44614236443685285	24.32058557383516	0.00018837888551011066	0.0005485995787947116
KHDRBS1	0.8372713028173486	0.8237111830001422	0.4295011804452404	25.446173842040025	0.00011424054216783957	0.00034936085640906454
KPNA6	-0.7314516841796566	0.38244189001267703	0.4661336570444984	10.854248703648409	0.05434762137144704	0.08488686818099096
TXLNA	-0.26170358354567025	0.27726600905680665	0.46491797436674187	19.559087262460253	0.0015115559490542158	0.003720378029446344
EIF3I	-1.854772858083965	0.4294122869965972	0.4551047205589752	21.27220673911188	0.0007195237212352924	0.001880125340077151
MARCKSL1	-0.23846437897752923	1.345000060593433	0.3496037064401963	35.39846465262326	1.252790413775276e-06	5.310439365058531e-06
ZBTB8OS	1.2247640466105294	0.32780173818535063	0.45770800262352146	4.933914241502862	0.42399857053030554	0.48357385547776255
YARS1	0.32093138548258004	0.40282084371288457	0.4490742937710709	4.787003871322668	0.4424237373050759	0.5016093748145289
TMEM54	0.19302966417030262	0.31189626843354423	0.4633235782030987	6.849631630279873	0.2320657510167019	0.2895603728957376
AK2	-0.7418551606153837	0.397355363984384	0.4641548776536892	5.960728964519603	0.31005893905754284	0.3696483914076643
