GO	[-32.96 -1.62]	[-1.62 -0.97]	[-0.97 -0.55]	[-0.55 -0.27]	[-0.27 0.00]	[0.00 0.22]	[0.22 0.53]	[0.53 0.91]	[0.91 1.66]	[1.66 15.12]	[15.12 18.15]
GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN	-0.923	-0.477	-1.635	-0.673	-0.673	4.340	6.548	0.404	0.404	-3.552	-2.051
GSE22886_CTRL_VS_LPS_24H_DC_UP GSE22886_CTRL_VS_LPS_24H_DC_UP	-1.283	-1.283	-0.478	-0.796	-2.068	1.152	1.539	3.601	-0.478	0.820	-0.766
GSE5099_DAY3_VS_DAY7_MCSF_TREATED_MACROPHAGE_UP GSE5099_DAY3_VS_DAY7_MCSF_TREATED_MACROPHAGE_UP	-0.972	-0.972	-0.556	-1.682	-0.303	0.824	3.259	0.824	-1.682	-0.556	1.671
GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN	0.439	3.994	0.918	0.655	-1.827	-1.241	-0.537	-1.241	-1.241	0.439	0.290
GSE17721_0.5H_VS_12H_PAM3CSK4_BMDC_DN GSE17721_0.5H_VS_12H_PAM3CSK4_BMDC_DN	-0.242	3.567	-0.525	0.685	-1.088	-1.088	-0.525	-0.525	-1.088	1.095	0.384
GSE21546_WT_VS_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP GSE21546_WT_VS_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP	-1.215	0.572	1.377	-0.302	-0.302	-1.215	-0.302	-1.215	-0.616	0.300	3.238
GSE17721_CPG_VS_GARDIQUIMOD_16H_BMDC_DN GSE17721_CPG_VS_GARDIQUIMOD_16H_BMDC_DN	-1.004	-1.004	-0.466	0.773	-1.004	-1.004	-0.205	0.773	3.092	-0.205	0.441
GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_UP GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_UP	0.361	-0.249	-0.667	-0.667	0.762	-0.667	-0.667	1.952	1.952	-0.667	-0.652
GSE33424_CD161_INT_VS_NEG_CD8_TCELL_DN GSE33424_CD161_INT_VS_NEG_CD8_TCELL_DN	-0.793	-0.326	-0.793	-0.326	-0.793	0.608	-0.793	1.624	-0.793	1.624	1.089
GSE41867_NAIVE_VS_EFFECTOR_CD8_TCELL_UP GSE41867_NAIVE_VS_EFFECTOR_CD8_TCELL_UP	0.378	-0.458	0.378	-0.840	-0.458	0.647	-0.458	-1.512	1.406	-1.512	2.500
GSE27859_DC_VS_CD11C_INT_F480_INT_DC_UP GSE27859_DC_VS_CD11C_INT_F480_INT_DC_UP	-0.667	-0.667	-0.667	-0.249	-0.667	-0.667	0.762	3.595	-0.249	-0.249	0.783
GSE43863_NAIVE_VS_MEMORY_TFH_CD4_TCELL_D150_LCMV_DN GSE43863_NAIVE_VS_MEMORY_TFH_CD4_TCELL_D150_LCMV_DN	0.280	1.313	2.397	-0.323	-1.257	-1.257	-0.647	0.539	0.280	-1.257	0.293
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP	1.445	0.234	-0.877	-0.877	-0.381	2.758	0.526	-0.877	0.234	-0.877	-0.368
GSE5463_CTRL_VS_DEXAMETHASONE_TREATED_THYMOCYTE_DN GSE5463_CTRL_VS_DEXAMETHASONE_TREATED_THYMOCYTE_DN	0.475	3.061	-1.768	0.752	-0.608	0.266	0.266	-1.768	0.266	0.266	-0.583
GSE17721_PAM3CSK4_VS_CPG_4H_BMDC_DN GSE17721_PAM3CSK4_VS_CPG_4H_BMDC_DN	2.226	-0.583	1.495	-0.583	-0.583	-0.583	-0.583	-0.200	0.433	0.433	-0.570
GSE17721_PAM3CSK4_VS_CPG_2H_BMDC_DN GSE17721_PAM3CSK4_VS_CPG_2H_BMDC_DN	3.079	-0.583	1.495	-0.583	-0.200	-0.583	-0.583	-0.200	-0.200	-0.583	-0.193
GSE40274_FOXP3_VS_FOXP3_AND_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP GSE40274_FOXP3_VS_FOXP3_AND_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	1.495	-0.583	-0.583	-0.583	-0.583	0.433	-0.200	-0.583	-0.583	1.495	0.914
GSE21670_UNTREATED_VS_TGFB_TREATED_STAT3_KO_CD4_TCELL_UP GSE21670_UNTREATED_VS_TGFB_TREATED_STAT3_KO_CD4_TCELL_UP	-0.224	-0.625	0.395	-0.224	-0.625	-0.625	0.824	-0.625	-0.625	0.395	2.943
