GO	[-11.38 -0.89]	[-0.89 -0.65]	[-0.65 -0.43]	[-0.43 -0.26]	[-0.26 -0.09]	[-0.09 0.07]	[0.07 0.24]	[0.24 0.42]	[0.42 0.63]	[0.63 0.91]	[0.91 2.95]
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	8.826	0.379	-1.511	0.379	-0.839	-0.458	0.379	-0.458	-1.511	-0.458	-1.488
CHICAS_RB1_TARGETS_LOW_SERUM CHICAS_RB1_TARGETS_LOW_SERUM	-2.281	-0.938	-0.352	-2.281	-1.459	-1.459	0.256	0.668	0.956	3.730	2.674
REACTOME_SELENOAMINO_ACID_METABOLISM REACTOME_SELENOAMINO_ACID_METABOLISM	-2.824	-3.851	-2.101	-0.568	0.962	0.525	0.525	3.116	1.235	0.725	-0.365
OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	1.536	1.170	2.913	0.590	-1.568	-0.404	0.378	-0.656	-2.410	-0.656	-1.537
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	3.804	0.368	1.243	-0.740	0.599	-0.243	-0.243	-0.740	-1.211	-1.980	-0.721
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN	2.134	1.049	-0.411	1.368	1.049	-0.957	-2.013	0.355	-0.411	-1.397	-1.364
CHOI_ATL_STAGE_PREDICTOR CHOI_ATL_STAGE_PREDICTOR	0.395	-0.625	2.084	-0.625	-0.625	2.084	-0.224	0.395	-0.625	-0.625	-0.615
DARWICHE_SKIN_TUMOR_PROMOTER_UP DARWICHE_SKIN_TUMOR_PROMOTER_UP	-1.087	1.095	0.685	0.685	1.594	0.370	-1.087	-1.087	0.370	-1.087	-0.513
KEGG_CARDIAC_MUSCLE_CONTRACTION KEGG_CARDIAC_MUSCLE_CONTRACTION	-0.585	0.608	-0.281	-0.585	-1.172	0.608	0.322	-1.172	1.988	1.446	-1.154
MCBRYAN_PUBERTAL_BREAST_4_5WK_DN MCBRYAN_PUBERTAL_BREAST_4_5WK_DN	0.198	1.292	0.198	-0.437	0.456	-0.961	-0.437	-0.961	-0.437	-0.961	3.280
LI_LUNG_CANCER LI_LUNG_CANCER	2.292	0.277	1.061	-0.326	-0.793	0.609	-0.793	-0.793	-0.793	0.609	-0.780
SCIAN_INVERSED_TARGETS_OF_TP53_AND_TP73_DN SCIAN_INVERSED_TARGETS_OF_TP53_AND_TP73_DN	-0.416	-0.416	0.210	-0.416	0.210	-0.416	0.210	0.210	-0.416	-0.416	4.138
LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_UP LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_UP	-0.416	0.640	-0.416	-0.416	0.210	-0.416	-0.416	-0.416	2.049	-0.416	1.276
