ENSG00000243485.5	MIR1302-2HG
ENSG00000237613.2	FAM138A
ENSG00000186092.6	OR4F5
ENSG00000238009.6	AL627309.1
ENSG00000239945.1	AL627309.3
ENSG00000239906.1	AL627309.2
ENSG00000241860.7	AL627309.5
ENSG00000241599.1	AL627309.4
ENSG00000286448.1	AP006222.2
ENSG00000236601.2	AL732372.1
ENSG00000284733.2	OR4F29
ENSG00000235146.2	AC114498.1
ENSG00000284662.1	OR4F16
ENSG00000229905.1	AL669831.2
ENSG00000237491.10	LINC01409
ENSG00000177757.2	FAM87B
ENSG00000228794.10	LINC01128
ENSG00000225880.5	LINC00115
ENSG00000288531.1	AL669831.7
ENSG00000230368.2	FAM41C
ENSG00000272438.1	AL645608.6
ENSG00000230699.2	AL645608.2
ENSG00000241180.1	AL645608.4
ENSG00000223764.2	LINC02593
ENSG00000187634.13	SAMD11
ENSG00000188976.11	NOC2L
ENSG00000187961.14	KLHL17
ENSG00000187583.11	PLEKHN1
ENSG00000187642.9	PERM1
ENSG00000272512.1	AL645608.7
ENSG00000188290.11	HES4
ENSG00000187608.10	ISG15
ENSG00000224969.1	AL645608.1
ENSG00000188157.15	AGRN
ENSG00000242590.1	AL645608.5
ENSG00000273443.1	AL645608.8
ENSG00000237330.3	RNF223
ENSG00000131591.18	C1orf159
ENSG00000285812.1	AL390719.3
ENSG00000223823.1	LINC01342
ENSG00000272141.1	AL390719.2
ENSG00000205231.1	TTLL10-AS1
ENSG00000162571.14	TTLL10
ENSG00000186891.14	TNFRSF18
ENSG00000186827.11	TNFRSF4
ENSG00000078808.19	SDF4
ENSG00000176022.7	B3GALT6
ENSG00000184163.3	C1QTNF12
ENSG00000260179.1	AL162741.1
ENSG00000160087.21	UBE2J2
ENSG00000230415.1	LINC01786
ENSG00000162572.21	SCNN1D
ENSG00000131584.19	ACAP3
ENSG00000169972.12	PUSL1
ENSG00000127054.21	INTS11
ENSG00000240731.1	AL139287.1
ENSG00000224051.7	CPTP
ENSG00000169962.5	TAS1R3
ENSG00000107404.20	DVL1
ENSG00000162576.17	MXRA8
ENSG00000175756.13	AURKAIP1
ENSG00000221978.12	CCNL2
ENSG00000224870.7	MRPL20-AS1
ENSG00000242485.6	MRPL20
ENSG00000272455.1	MRPL20-DT
ENSG00000235098.9	ANKRD65
ENSG00000225905.1	AL391244.1
ENSG00000205116.3	TMEM88B
ENSG00000225285.1	LINC01770
ENSG00000179403.12	VWA1
ENSG00000215915.10	ATAD3C
ENSG00000160072.20	ATAD3B
ENSG00000197785.14	ATAD3A
ENSG00000205090.9	TMEM240
ENSG00000160075.12	SSU72
ENSG00000215014.5	AL645728.1
ENSG00000228594.4	FNDC10
ENSG00000286989.1	AL691432.4
ENSG00000272106.1	AL691432.2
ENSG00000197530.12	MIB2
ENSG00000189409.14	MMP23B
ENSG00000248333.9	CDK11B
ENSG00000272004.1	FO704657.1
ENSG00000189339.12	SLC35E2B
ENSG00000008128.23	CDK11A
ENSG00000008130.15	NADK
ENSG00000078369.18	GNB1
ENSG00000231050.1	AL109917.1
ENSG00000169885.10	CALML6
ENSG00000178821.13	TMEM52
ENSG00000142609.18	CFAP74
ENSG00000233542.2	AL391845.2
ENSG00000187730.9	GABRD
ENSG00000226969.1	AL391845.1
ENSG00000067606.17	PRKCZ
ENSG00000271806.1	AL590822.2
ENSG00000182873.5	PRKCZ-AS1
ENSG00000162585.17	FAAP20
ENSG00000234396.3	AL590822.1
ENSG00000157933.10	SKI
ENSG00000287356.1	AL590822.3
ENSG00000116151.14	MORN1
ENSG00000272161.1	AL589739.1
ENSG00000272420.1	AL513477.2
ENSG00000157916.20	RER1
ENSG00000157911.11	PEX10
ENSG00000149527.18	PLCH2
ENSG00000224387.1	AL139246.1
ENSG00000229393.1	AL139246.4
ENSG00000157881.16	PANK4
ENSG00000197921.6	HES5
ENSG00000272449.2	AL139246.5
ENSG00000238164.6	TNFRSF14-AS1
ENSG00000157873.18	TNFRSF14
ENSG00000228037.1	AL139246.3
ENSG00000157870.17	PRXL2B
ENSG00000142606.16	MMEL1
ENSG00000237058.1	MMEL1-AS1
ENSG00000215912.12	TTC34
ENSG00000285945.1	AC242022.2
ENSG00000283259.1	AC242022.1
ENSG00000233234.1	AL592464.2
ENSG00000287396.1	AL592464.3
ENSG00000231630.1	AL592464.1
ENSG00000284745.1	AL589702.1
ENSG00000169717.7	ACTRT2
ENSG00000177133.11	PRDM16-DT
ENSG00000142611.17	PRDM16
ENSG00000226286.1	AL008733.1
ENSG00000272235.1	AL590438.1
ENSG00000287828.1	AL354743.2
ENSG00000286518.1	AL354743.1
ENSG00000130762.15	ARHGEF16
ENSG00000272088.1	AL512413.1
ENSG00000162591.16	MEGF6
ENSG00000238260.1	AL513320.1
ENSG00000158109.15	TPRG1L
ENSG00000116213.16	WRAP73
ENSG00000078900.15	TP73
ENSG00000227589.1	TP73-AS3
ENSG00000235131.1	TP73-AS2
ENSG00000162592.10	CCDC27
ENSG00000235169.11	SMIM1
ENSG00000130764.10	LRRC47
ENSG00000272153.1	AL365330.1
ENSG00000116198.14	CEP104
ENSG00000169598.17	DFFB
ENSG00000198912.12	C1orf174
ENSG00000236423.6	LINC01134
ENSG00000233304.7	LINC01346
ENSG00000226374.3	LINC01345
ENSG00000284668.2	LINC02780
ENSG00000284703.1	AL805961.1
ENSG00000235054.4	LINC01777
ENSG00000284694.1	AL355602.1
ENSG00000227169.2	Z98747.1
ENSG00000232596.3	LINC01646
ENSG00000196581.11	AJAP1
ENSG00000287586.1	Z98886.1
ENSG00000284739.1	BX005132.1
ENSG00000284674.1	LINC02781
ENSG00000231510.1	LINC02782
ENSG00000284616.1	AL139823.1
ENSG00000284692.2	Z98259.3
ENSG00000284666.1	Z98259.2
ENSG00000260972.1	Z98259.1
ENSG00000236948.2	AL365255.1
ENSG00000131697.18	NPHP4
ENSG00000069424.15	KCNAB2
ENSG00000116254.18	CHD5
ENSG00000116251.11	RPL22
ENSG00000226944.1	RNF207-AS1
ENSG00000158286.13	RNF207
ENSG00000116237.16	ICMT
ENSG00000225077.3	LINC00337
ENSG00000173673.8	HES3
ENSG00000158292.7	GPR153
ENSG00000097021.20	ACOT7
ENSG00000271746.1	AL031848.2
ENSG00000069812.11	HES2
ENSG00000187017.17	ESPN
ENSG00000231868.1	AL031848.1
ENSG00000215788.11	TNFRSF25
ENSG00000171680.23	PLEKHG5
ENSG00000162408.11	NOL9
ENSG00000173662.21	TAS1R1
ENSG00000204859.13	ZBTB48
ENSG00000162413.16	KLHL21
ENSG00000116273.6	PHF13
ENSG00000041988.15	THAP3
ENSG00000007923.16	DNAJC11
ENSG00000228750.7	LINC01672
ENSG00000284744.1	AL591163.1
ENSG00000237436.1	CAMTA1-DT
ENSG00000171735.19	CAMTA1
ENSG00000237365.1	AL512330.1
ENSG00000237402.1	CAMTA1-IT1
ENSG00000237728.2	CAMTA1-AS2
ENSG00000225126.1	CAMTA1-AS1
ENSG00000270171.1	AL359881.3
ENSG00000270035.1	AL359881.2
ENSG00000269978.1	AL359881.1
ENSG00000049245.13	VAMP3
ENSG00000269925.1	Z98884.2
ENSG00000049246.14	PER3
ENSG00000236266.1	Z98884.1
ENSG00000049247.14	UTS2
ENSG00000049249.9	TNFRSF9
ENSG00000116288.13	PARK7
ENSG00000284747.1	AL034417.4
ENSG00000284716.1	AL034417.3
